Date,Name,Year,Letterboxd URI,Rating
2025-12-05,Zootopia,2016,https://boxd.it/84xS,4
2025-12-05,Knives Out,2019,https://boxd.it/jWEA,4
2025-12-05,Barbie,2023,https://boxd.it/bCLK,3
2025-12-05,La La Land,2016,https://boxd.it/a5fa,3
2025-12-05,The Devil Wears Prada,2006,https://boxd.it/2awE,5
2025-12-05,Inside Out 2,2024,https://boxd.it/CFrC,4
2025-12-05,Glass Onion,2022,https://boxd.it/oCkK,4
2025-12-05,No Hard Feelings,2023,https://boxd.it/xouu,3
2025-12-05,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,2
2025-12-05,Notting Hill,1999,https://boxd.it/2aeK,3
2025-12-05,The Hangover,2009,https://boxd.it/1GjK,4
2025-12-05,Anyone But You,2023,https://boxd.it/EzA8,5
2025-12-05,Mamma Mia!,2008,https://boxd.it/1Tnq,3
2025-12-05,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,4
2025-12-05,Shrek,2001,https://boxd.it/29zi,5
2025-12-05,Bullet Train,2022,https://boxd.it/qW26,3
2025-12-05,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,5
2025-12-05,The Fall Guy,2024,https://boxd.it/s0Bm,4
2025-12-05,Pretty Woman,1990,https://boxd.it/2b6M,5
2025-12-05,Cruella,2021,https://boxd.it/bbKg,3
2025-12-05,Kung Fu Panda,2008,https://boxd.it/1Yws,5
2025-12-05,Pitch Perfect,2012,https://boxd.it/3OsE,4
2025-12-05,The Princess Diaries,2001,https://boxd.it/1XCO,5
2025-12-05,Free Guy,2021,https://boxd.it/k8dm,3
2025-12-05,Crazy Rich Asians,2018,https://boxd.it/gfnK,1
2025-12-05,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,4
2025-12-05,Ocean's Eight,2018,https://boxd.it/eaai,4
2025-12-05,Despicable Me,2010,https://boxd.it/1DD8,5
2025-12-05,Matilda,1996,https://boxd.it/1VhY,3
2025-12-05,Freaky Friday,2003,https://boxd.it/1WwK,3
2025-12-05,The Idea of You,2024,https://boxd.it/vOW6,4
2025-12-05,The Proposal,2009,https://boxd.it/1HiS,5
2025-12-05,"Love, Rosie",2014,https://boxd.it/62hE,5
2025-12-05,Friends with Benefits,2011,https://boxd.it/DoK,3
2025-12-05,The Kissing Booth,2018,https://boxd.it/geR0,3
2025-12-05,Wild Child,2008,https://boxd.it/1P0C,3
2025-12-05,Bride Wars,2009,https://boxd.it/1W3I,4
2025-12-05,Superman,2025,https://boxd.it/E9IU,3
2025-12-05,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2025-12-05,Avatar,2009,https://boxd.it/1Efm,2
2025-12-05,Jaws,1975,https://boxd.it/2a5e,2
2025-12-05,Wicked,2024,https://boxd.it/e8ME,1
2025-12-05,Corpse Bride,2005,https://boxd.it/24WQ,3
2025-12-05,The Incredibles,2004,https://boxd.it/1XLm,5
2025-12-05,Coraline,2009,https://boxd.it/1NhQ,2
2025-12-05,Night at the Museum,2006,https://boxd.it/28wi,4
2025-12-05,Ted,2012,https://boxd.it/2pgc,2
2025-12-05,Scary Movie,2000,https://boxd.it/24CG,1
2025-12-05,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,3
2025-12-05,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,3
2025-12-05,Lilo & Stitch,2025,https://boxd.it/kbUe,4
2025-12-05,We're the Millers,2013,https://boxd.it/4srQ,4
2025-12-05,A Cinderella Story,2004,https://boxd.it/1UgU,4
2025-12-05,Jumanji: The Next Level,2019,https://boxd.it/ixu4,2
2025-12-05,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,5
2025-12-05,17 Again,2009,https://boxd.it/1Jnq,5
2025-12-05,Murder Mystery,2019,https://boxd.it/iEBm,4
2025-12-05,Chicken Little,2005,https://boxd.it/1Xnu,1
2025-12-05,Grown Ups 2,2013,https://boxd.it/3GAq,3
2025-12-05,The Roses,2025,https://boxd.it/MjnI,3
2025-12-05,The Lost City,2022,https://boxd.it/sg0Q,4
2025-12-05,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,3
2025-12-05,Dark Shadows,2012,https://boxd.it/bQ2,2
2025-12-05,Confessions of a Shopaholic,2009,https://boxd.it/1E9e,4
2025-12-05,Ted 2,2015,https://boxd.it/6oCY,1
2025-12-05,Bridget Jones: Mad About the Boy,2025,https://boxd.it/Mu9s,4
2025-12-05,Monte Carlo,2011,https://boxd.it/hqk,4
2025-12-05,Hannah Montana: The Movie,2009,https://boxd.it/1Hx4,5
2025-12-05,Aquamarine,2006,https://boxd.it/1OAE,4
2025-12-05,Camp Rock,2008,https://boxd.it/1PHw,5
2025-12-05,Holidate,2020,https://boxd.it/mLcc,5
2025-12-05,Baywatch,2017,https://boxd.it/biG6,3
2025-12-05,No Strings Attached,2011,https://boxd.it/YUs,2
2025-12-05,Hocus Pocus 2,2022,https://boxd.it/nRog,2
2025-12-05,Scary Movie 3,2003,https://boxd.it/24Be,1
2025-12-05,Two Weeks Notice,2002,https://boxd.it/26wK,4
2025-12-05,Valentine's Day,2010,https://boxd.it/1gui,4
2025-12-05,Sister Act,1992,https://boxd.it/27EA,3
2025-12-05,Penguins of Madagascar,2014,https://boxd.it/89tc,2
2025-12-05,Garfield,2004,https://boxd.it/1ZAA,4
2025-12-05,He's All That,2021,https://boxd.it/bFbA,4
2025-12-05,The Wedding Planner,2001,https://boxd.it/27Cu,5
2025-12-05,Tall Girl,2019,https://boxd.it/n9yG,2
2025-12-05,Journey to the Center of the Earth,2008,https://boxd.it/38EI,3
2025-12-05,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,2
2025-12-05,Black Swan,2010,https://boxd.it/Sw0,2
2025-12-05,Anora,2024,https://boxd.it/Egcw,0.5
2025-12-05,Priscilla,2023,https://boxd.it/Cz3k,3.5
2025-12-05,A Star Is Born,2018,https://boxd.it/aXgc,3
2025-12-05,Me Before You,2016,https://boxd.it/9n98,5
2025-12-05,The Holiday,2006,https://boxd.it/28ye,5
2025-12-05,Dirty Dancing,1987,https://boxd.it/2baY,4
2025-12-05,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,4
2025-12-05,50 First Dates,2004,https://boxd.it/285c,2
2025-12-05,It Ends with Us,2024,https://boxd.it/ENjg,2.5
2025-12-05,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC,4
2025-12-05,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,4
2025-12-05,The Fault in Our Stars,2014,https://boxd.it/6BQa,4
2025-12-05,Enchanted,2007,https://boxd.it/24co,3.5
2025-12-05,Passengers,2016,https://boxd.it/8lFu,4
2025-12-05,"Love, Simon",2018,https://boxd.it/g02s,2
2025-12-05,Meet Joe Black,1998,https://boxd.it/2aEI,1.5
2025-12-05,Five Feet Apart,2019,https://boxd.it/jaAK,3.5
2025-12-05,Cinderella,2015,https://boxd.it/4KX6,3.5
2025-12-05,The Age of Adaline,2015,https://boxd.it/9ghu,5
2025-12-05,My Fault,2023,https://boxd.it/CcDk,3.5
2025-12-05,The House Bunny,2008,https://boxd.it/1RyG,2
2025-12-05,After,2019,https://boxd.it/jBb8,4
2025-12-05,Ticket to Paradise,2022,https://boxd.it/u8Cc,3.5
2025-12-05,Isn't It Romantic,2019,https://boxd.it/g1jE,1
2025-12-05,Falling for Christmas,2022,https://boxd.it/vpEG,2.5
2025-12-05,Dear John,2010,https://boxd.it/1zO2,3
2025-12-05,The Princess Switch,2018,https://boxd.it/knTs,3.5
2025-12-05,Our Fault,2025,https://boxd.it/HKFE,3.5
